date,rate,daily_return_pct,log_return,ma_7d,ma_21d,ma_63d,volatility_20d,year,month,day_of_week
2013-05-07,0.8443055913424375,-0.9275959804174172,-0.009319249429161902,0.8514392923282348,0.8501942833709841,0.8391367642800663,0.7198416359434908,2013,5,1
2013-05-08,0.840424851238083,-0.45963690684367453,-0.004606964853302115,0.8499447061843978,0.8499585677972609,0.8391091035786685,0.7183893190962054,2013,5,2
2013-05-09,0.8462330972311656,0.6911083108175786,0.006887311037633959,0.848573974237579,0.8498182641501112,0.8391825831349136,0.7167844233828471,2013,5,3
2013-05-10,0.8313384113166485,-1.7601162094996958,-0.01775790450424708,0.8450586728234866,0.8486775162296156,0.8391393524891676,0.7382607352795892,2013,5,4
2013-05-13,0.8283105605925168,-0.3642139810833833,-0.0036487885507041073,0.8421256530736034,0.846858373898895,0.8389876958444954,0.7267083739394904,2013,5,0
2013-05-14,0.8235704766135685,-0.5722592713966579,-0.0057390294849444246,0.83805623593334,0.8451378118797971,0.8388424360184192,0.6682650423499432,2013,5,1
2013-05-15,0.8213510407355382,-0.2694894900988176,-0.0026985326673203136,0.8336477184385654,0.8439140307926006,0.8386155549274228,0.663850641895732,2013,5,2
2013-05-16,0.8160293745251963,-0.6479161706030356,-0.006500242581171489,0.8296082588932452,0.8423542587444882,0.8382137489172766,0.6726563521111042,2013,5,3
2013-05-17,0.8085066281334422,-0.9218720093417176,-0.009261475462882696,0.8250485127354394,0.8405249087660664,0.8375861831612929,0.6921680314710389,2013,5,4
2013-05-20,0.8155456852791878,0.8706245441668647,0.008668564634451287,0.8206645967422997,0.8391643210319755,0.8370620834249561,0.7243435131632129,2013,5,0
2013-05-21,0.81528420252202,-0.03206230648847841,-0.00032067447544884,0.8183711383430671,0.8376590940689307,0.8365868520893303,0.722672032283101,2013,5,1
2013-05-22,0.8115932927212208,-0.45271449997211777,-0.004537423554047626,0.8159829572185963,0.8361531356012741,0.8360611419869419,0.7231008075860323,2013,5,2
2013-05-23,0.8089379864423801,-0.3271720334131478,-0.003277084113489759,0.8138926014798551,0.8346939359602528,0.8356142860997124,0.685694370895729,2013,5,3
2013-05-24,0.8105619244502913,0.2007493819214723,0.0020054814961983636,0.8123512991533912,0.8329866865943155,0.8352300579835095,0.6307851033527139,2013,5,4
2013-05-27,0.8088391573420017,-0.2125398512220933,-0.0021276603771165914,0.8113241252700778,0.8307905588305192,0.8347679621522275,0.6288782066206176,2013,5,0
2013-05-28,0.8123312613800465,0.4317427026555576,0.004308133677792397,0.811870501448164,0.8289545734560003,0.8343236425605716,0.6193155018523105,2013,5,1
2013-05-29,0.8139768728004022,0.2025788614314905,0.0020237394715132695,0.8116463853797661,0.8269616521198816,0.8341106342947628,0.6250999276983881,2013,5,2
2013-05-30,0.8015356988048795,-1.528443179561123,-0.015402442754457013,0.8096823134201746,0.824370708195576,0.8337545374214361,0.6766428595920805,2013,5,3
2013-05-31,0.7996311097448509,-0.23761749637208895,-0.0023790025475606547,0.8079734301378361,0.822027346810012,0.8332657648393513,0.658662241623033,2013,5,4
2013-06-03,0.7996065896238013,-0.003066429100961887,-3.0664761168641697e-05,0.8066403734494677,0.8195297369542208,0.8328638783344683,0.6581156012920456,2013,6,0
2013-06-04,0.803683241252302,0.5098321701449082,0.00508536926450362,0.8056577044211835,0.8172189073377134,0.8325685161191588,0.6662476719383886,2013,6,1
2013-06-05,0.8001347131222828,-0.4415331747480322,-0.004425108112577347,0.8044142123897949,0.8151155321843727,0.8321440979598431,0.6659516908313229,2013,6,2
2013-06-06,0.7957537154989385,-0.5475325031517264,-0.0054903695645534545,0.8020459915496367,0.8129883352444134,0.831537440609051,0.6311755553076064,2013,6,3
2013-06-07,0.796013927242166,0.03270003496802509,0.0003269468967183886,0.7994798564698886,0.8105969461973184,0.8310225608831404,0.5333991927127202,2013,6,4
2013-06-10,0.7896341463414633,-0.8014659897730425,-0.008046949929173902,0.7977796346894007,0.8086110288175474,0.830396782173013,0.5485603720259149,2013,6,0
2013-06-11,0.7771077283372365,-1.5863571835468715,-0.01599074503175249,0.7945620087740272,0.8061727987101531,0.8296885086992053,0.6229657957556567,2013,6,1
2013-06-12,0.7996265960009636,2.8977793995062173,0.028565876439331284,0.7945648668279075,0.8050326139190768,0.8292734801986589,0.9465005294840817,2013,6,2
2013-06-13,0.7974964063248682,-0.26639805213443113,-0.002667535231976853,0.7936810332668455,0.80389667894714,0.8288331311249953,0.9393243162092841,2013,6,3
2013-06-14,0.8077600340032789,1.28698105684375,0.012787698318701468,0.7947703648212735,0.8035029008270488,0.8286669758539772,0.96832904770583,2013,6,4
2013-06-17,0.8073733276832739,-0.04787391102881733,-0.00047885374244338585,0.7964303094190358,0.8034489341389456,0.8284087670333359,0.9463871757265372,2013,6,0
2013-06-18,0.7981618524707567,-1.1409189400582664,-0.011474773520255666,0.7967371558802631,0.8026211325766394,0.8279948571651249,0.9774896028004798,2013,6,1
2013-06-19,0.8004059943877246,0.28116376522144826,0.0028076923924345853,0.7982759913154432,0.801912646475006,0.8276230646860369,0.9773884857852405,2013,6,2
2013-06-20,0.7798192237254091,-2.5720410400053906,-0.026056963554067808,0.7986633477994678,0.8003995955704438,0.8269467517651983,1.1266067158563633,2013,6,3
2013-06-21,0.7751117384144908,-0.6036636655902705,-0.006054930807547515,0.7951612252871146,0.7987888218548298,0.8260243069017428,1.126765809383717,2013,6,4
2013-06-24,0.7711709588072366,-0.5084143887841397,-0.0050971121209597015,0.7914004470703101,0.7969130615861131,0.8250557957945918,1.1286403210342624,2013,6,0
2013-06-25,0.7753704468976916,0.5445599373905763,0.005430825707678166,0.7867733631980833,0.7953193134697172,0.8240869967771205,1.1324085609895478,2013,6,1
2013-06-26,0.7784817692767484,0.4012691470903107,0.004004662096915912,0.7826459977114368,0.7937074328933698,0.8231748962672678,1.1372320973613779,2013,6,2
2013-06-27,0.7831730769230769,0.6026226729351603,0.006008141645229559,0.7805047440617684,0.7922405854706399,0.822337479406707,1.1072858403091748,2013,6,3
2013-06-28,0.7789423535016675,-0.5402028678042736,-0.005416672395960609,0.7774385096494744,0.7911647118847728,0.8214240132114232,1.111181634364607,2013,6,4
2013-07-01,0.7772147370931204,-0.2217900208893231,-0.0022203633922988075,0.777066440130576,0.7900972655680236,0.8203777670990989,1.1109934005674937,2013,7,0
2013-07-02,0.776253801657821,-0.12363834464763634,-0.0012371483990711862,0.7772295920224804,0.788985228045834,0.8193015031771498,1.1005914307301263,2013,7,1
2013-07-03,0.7739951024308667,-0.2909743207866411,-0.0029139847404796027,0.7776330411115703,0.7875715071495752,0.818261208530305,1.0991340695926608,2013,7,2
2013-07-04,0.7795857099969979,0.7223052896036419,0.0071970915877759,0.7782352215543283,0.7865929831912284,0.8173009329155284,1.1121815419321028,2013,7,3
2013-07-05,0.783161094224924,0.45862618850975867,0.004575777031359557,0.7789036965469249,0.7859933345591325,0.8163134125336022,1.1188479798382018,2013,7,4
2013-07-08,0.7753575092017135,-0.996421436247863,-0.010014189398184936,0.7777871868724444,0.7850096956048253,0.8151416353174182,1.1263306776568163,2013,7,0
2013-07-09,0.7859282352222019,1.3633357380354427,0.013541259290255875,0.7787851699753779,0.7848332236467651,0.8140405895646426,1.112450180808673,2013,7,1
2013-07-10,0.7853027702868352,-0.0795829577480367,-0.0007961464179503663,0.7799406032887657,0.7852234637396033,0.8127515454495505,0.8900149874008969,2013,7,2
2013-07-11,0.7863515794550278,0.133554752112941,0.0013346564708105746,0.7813831429740811,0.7845913200945587,0.8115872486311441,0.8902545996472858,2013,7,3
2013-07-12,0.7780563514804202,-1.0549006565684693,-0.010605041760930328,0.7819633214097316,0.783665603197204,0.8104921043123149,0.8562174400974262,2013,7,4
2013-07-15,0.7743855263940963,-0.4717942446378576,-0.0047291070667074275,0.7812204380378885,0.7820763409300999,0.809311166833879,0.8579248206573938,2013,7,0
2013-07-16,0.7869226154769047,1.618972547328834,0.01606006939354107,0.7817577982167428,0.7811024974917016,0.8083587801322378,0.919207107470302,2013,7,1
2013-07-17,0.7854110612855008,-0.1920842229814257,-0.0019226894130608962,0.7831940199429981,0.7804953169590703,0.8074269235225617,0.9158620791043522,2013,7,2
2013-07-18,0.787738403224836,0.2963215129063723,0.002958833460862842,0.7834526153719459,0.7798920983322661,0.8064879462920677,0.7077595672021825,2013,7,3
2013-07-19,0.7967336530872443,1.1419082560382599,0.01135437695696781,0.7850855986291473,0.7806975473494963,0.8057500928404048,0.7298176770022197,2013,7,4
2013-07-22,0.793132530120482,-0.4519857988687148,-0.004530103430423399,0.7860543058670693,0.7815556802878769,0.8050128127009866,0.7272829401260498,2013,7,0
2013-07-23,0.797434656340755,0.5424221119286976,0.005409563013890867,0.7888226351328314,0.7828063325513778,0.8042353602439355,0.7272209704818803,2013,7,1
2013-07-24,0.7976634951222449,0.028696869351008125,0.0002869275258703119,0.7921480592368525,0.7838679062763564,0.8033259261921976,0.7250227701101695,2013,7,2
2013-07-25,0.8038726176703404,0.7784137779984324,0.007753997688206421,0.7945694881216291,0.7850769942950988,0.8025796668814897,0.73215759593314,2013,7,3
2013-07-26,0.805834092980857,0.24400324969409137,0.002437060451258133,0.7974870640781085,0.7861560902978504,0.8017861092961239,0.7150015867540317,2013,7,4
2013-07-29,0.8069812697640476,0.14235892886427237,0.0014225769460708138,0.8002360450122816,0.7874912767865352,0.801008898955628,0.709050502536625,2013,7,0
2013-07-30,0.7999518246416958,-0.8710790926296452,-0.008748951633822805,0.8006957838057746,0.7885739952412292,0.8002328692064216,0.7452515995486978,2013,7,1
2013-07-31,0.7973930802498798,-0.319862310828789,-0.0032037496379921926,0.8013044338242601,0.7895806275551368,0.7993651975183972,0.7461849948412196,2013,7,2
2013-08-01,0.7943824270795824,-0.3775619885432069,-0.0037827655300207153,0.800868401072664,0.790551452538409,0.7984472890085658,0.7424356886634903,2013,8,3
2013-08-02,0.7875335520429466,-0.8621634622274499,-0.008659015927776181,0.7994212663470499,0.7909299212072637,0.7975461455276216,0.7668843864667854,2013,8,4
2013-08-05,0.7763527758257204,-1.4197206186608913,-0.01429895065787512,0.795489860369247,0.7906057155692062,0.7965291284575841,0.8017691847432069,2013,8,0
2013-08-06,0.7862640615748964,1.2766471709506622,0.012685667307582,0.7926941415969669,0.7911250752060245,0.7955772390027227,0.7942640157448643,2013,8,1
2013-08-07,0.7907405206228456,0.5693327810230686,0.005677182072451603,0.7903740345767952,0.7913542316536744,0.794932828039329,0.8038181080610439,2013,8,2
2013-08-08,0.797754821759121,0.887054723179026,0.008831435055127845,0.7900601770221417,0.7919471864856878,0.7944478163118147,0.8259082586694957,2013,8,3
2013-08-09,0.8016424889102026,0.48732606122128264,0.004861424715080942,0.7906672354021878,0.7926753250311723,0.7940997530149358,0.785862273680587,2013,8,4
2013-08-12,0.8009650180940894,-0.08451034288792236,-0.0008454607301004446,0.7916076055471174,0.7937662139175375,0.7937761653539606,0.7743605207494354,2013,8,0
2013-08-13,0.7997352268624384,-0.1535386944335415,-0.0015365668587745962,0.793350701949902,0.794973342511268,0.7935175280894724,0.697636218087176,2013,8,1
2013-08-14,0.8025574207623781,0.35289103257485355,0.003522698331795082,0.7970942226551389,0.7957178570486716,0.7934230962264396,0.6969649109746177,2013,8,2
2013-08-15,0.8069057588445901,0.5418102144119974,0.005403477031816345,0.8000430365508092,0.7967414140752949,0.7932859545370016,0.7025518171001472,2013,8,3
2013-08-16,0.8084358523725835,0.18962481197113412,0.0018944525108339771,0.8025709410864862,0.7977270068918543,0.7931772505663754,0.6608688479173572,2013,8,4
2013-08-19,0.8110375007597399,0.3218125939765226,0.003212958855068143,0.8044684666580031,0.7984081424953066,0.7931684284717488,0.6509691940035895,2013,8,0
2013-08-20,0.798092967818832,-1.596046166642373,-0.016089201503818512,0.8039613922163787,0.7986443538142755,0.792996285318994,0.7455914252509103,2013,8,1
2013-08-21,0.7913439366168037,-0.8456447399196154,-0.00849240601544149,0.802586952005338,0.7983543195417064,0.7926912378930657,0.7694885232961459,2013,8,2
2013-08-22,0.7814534576808024,-1.2498331608232882,-0.012577092697637127,0.7999752706936757,0.7975824129968759,0.7922565442476499,0.7897617014002187,2013,8,3
2013-08-23,0.7771312190864126,-0.5531024979040233,-0.005546377734853808,0.7963429561685379,0.7963090130643079,0.7916978134175923,0.7895633773826362,2013,8,4
2013-08-26,0.782489019033675,0.689433111895954,0.006870673889776191,0.7928548504812643,0.7951973428763468,0.7911980062149458,0.8104538070805267,2013,8,0
2013-08-27,0.7783613445378151,-0.5275057407140626,-0.005289019645181636,0.7885584922191544,0.7938344892941454,0.7908301593218178,0.7979287017923128,2013,8,1
2013-08-28,0.7748621190130625,-0.449563117350138,-0.0045057669124293764,0.7833905805410576,0.7926397414070675,0.7904370007387734,0.8000457809454998,2013,8,2
2013-08-29,0.7775172898839526,0.34266365663506715,0.0034207790245689984,0.780451197978932,0.7916932751991662,0.790086376933379,0.8049916210809148,2013,8,3
2013-08-30,0.7766562995129394,-0.11073584886347465,-0.0011079720630522982,0.7783529641069514,0.7908491738864689,0.789657377858151,0.7850393190012989,2013,8,4
2013-09-02,0.7814792899408284,0.620994181198764,0.0061907395788305675,0.7783566544298122,0.79056087569113,0.789361260029874,0.7306446960242741,2013,9,0
2013-09-03,0.7812574139976275,-0.02839178799193265,-0.0002839581922310652,0.7789461108457,0.7907944298897922,0.7891311600060437,0.6696957339960735,2013,9,1
2013-09-04,0.7887770990537789,0.9625105530421507,0.009579079304692345,0.7798444079914291,0.7909140983411675,0.7890162897173391,0.6935546522898046,2013,9,2
2013-09-05,0.787990927539692,-0.09966966777179564,-0.0009971937101394546,0.781220062705983,0.7907831653372079,0.7889902068792157,0.6606903812196087,2013,9,3
2013-09-06,0.794728870039382,0.8550786898940066,0.008514435992890979,0.7840581699954573,0.7906390723981725,0.7892699075411546,0.6814990392325314,2013,9,4
2013-09-09,0.800363967242948,0.7090590786373197,0.007065570749132305,0.7873219810467423,0.7905781904140177,0.7892816118465829,0.7016417756283266,2013,9,0
2013-09-10,0.8057448880233691,0.6723092243841267,0.0067005930456751905,0.7914774936910893,0.7908058032677929,0.7894125401275115,0.7163640583886856,2013,9,1
2013-09-11,0.8057326774761644,-0.0015154358887214947,-1.5154473715695005e-05,0.7949422633389946,0.7910913961541608,0.7893803598651764,0.7125873037391373,2013,9,2
